Quarter,Year,Revenue_Billions,Net_Income_Billions,EPS,YoY_Revenue_Growth,Operating_Margin,Date_Reported
Q1,2020,41.16,6.84,10.13,0.13,0.17,4/28/2020
Q2,2020,38.3,6.96,10.3,-0.02,0.19,7/30/2020
Q3,2020,46.17,11.25,16.4,0.14,0.25,10/29/2020
Q4,2020,56.9,15.23,22.3,0.24,0.29,2/2/2021
Q1,2021,55.31,17.93,26.29,0.34,0.30,4/27/2021
Q2,2021,61.88,18.53,27.26,0.62,0.31,7/27/2021
Q3,2021,65.12,18.94,27.99,0.41,0.32,10/26/2021
Q4,2021,75.33,20.64,30.69,0.32,0.29,2/1/2022
Q1,2022,68.01,16.44,24.62,0.23,0.30,4/26/2022
Q2,2022,69.69,16,23.68,0.13,0.28,7/26/2022
Q3,2022,69.09,13.91,20.64,0.06,0.25,10/25/2022
Q4,2022,76.05,13.62,20.22,0.01,0.24,2/2/2023
Q1,2023,69.79,15.05,19.07,0.03,0.25,4/25/2023
Q2,2023,74.6,18.37,23.27,0.07,0.29,7/25/2023
Q3,2023,76.69,19.69,24.26,0.11,0.28,10/24/2023
Q4,2023,86.31,20.69,25.53,0.14,0.27,1/30/2024
Q1,2024,80.54,23.66,29.45,0.15,0.32,4/25/2024
Q2,2024,84.74,23.62,29.38,0.14,0.32,7/23/2024
Q3,2024,88.27,26.3,32.58,0.15,0.33,10/29/2024
Q4,2024,91.95,25.62,31.87,0.13,0.31,1/28/2025
Q1,2025,95.5,27.8,34.5,0.19,0.33,4/24/2025
Q2,2025,98.2,28.5,35.3,0.16,0.34,7/22/2025
Q3,2025,101.3,29.2,36.2,0.15,0.34,10/28/2025
Q4,2025,90,13,16.1,,,1/30/2026
